id,name,domain,latitude,longitude,interval,timezone,sens,counter,Manhattan
100057318,Broadway at 50th St,New York City DOT,40.76138,-73.98408,15,(UTC-05:00) US/Eastern;DST,5,Y2H18055362,1
100010018,Pulaski Bridge,New York City DOT,40.742563,-73.951492,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042948,0
100009426,Manhattan Bridge Ped Path,New York City DOT,40.714573,-73.99495,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042941,1
100010019,Kent Ave btw North 8th St and North 9th St,New York City DOT,40.720959,-73.96093,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042949,0
100010022,Brooklyn Bridge Bike Path,New York City DOT,40.709274,-74.00099,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042940,1
300020241,Brooklyn Bridge Bicycle Path (Roadway),New York City DOT,40.712656,-74.004464,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042943,1
100058279,Kent Ave btw South 6th St. and Broadway,New York City DOT,40.711282,-73.968386,15,(UTC-05:00) US/Eastern;DST,5,,0
300024007,111th St at 50th Ave,New York City DOT,40.74563,-73.8525,15,(UTC-05:00) US/Eastern;DST,5,Y2H21100728,0
300020692,Test,New York City DOT,40.707381,-73.998845,0,(UTC-05:00) US/Eastern;DST,5,,0
100009424,2nd Avenue - 26th St S,New York City DOT,40.73971,-73.97954,15,(UTC-05:00) US/Eastern;DST,5,,1
300020904,Comprehensive Brooklyn Bridge Counter,New York City DOT,40.711644,-74.004109,15,(UTC-05:00) US/Eastern;DST,5,,1
100039064,Forsyth Plaza,New York City DOT,40.715623,-73.994744,15,(UTC-05:00) US/Eastern;DST,5,,1
100009429,Manhattan Bridge 2013 to 2018 Bike Counter,New York City DOT,40.699768,-73.98582,15,(UTC-05:00) US/Eastern;DST,5,,0
100057316,8th Ave at 50th St.,New York City DOT,40.762348,-73.98612,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042942,1
100009427,Williamsburg Bridge Bike Path,New York City DOT,40.71053,-73.96145,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042936,0
100057320,Columbus Ave at 86th St.,New York City DOT,40.7877,-73.97505,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042939,1
100005020,Manhattan Bridge 2012 Test Bike Counter,New York City DOT,40.69981,-73.98589,15,(UTC-05:00) US/Eastern;DST,5,,0
100057319,Amsterdam Ave at 86th St.,New York City DOT,40.7877,-73.97505,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042937,1
100051865,Manhattan Bridge 2012 to 2019 Bike Counter,New York City DOT,40.69981,-73.98589,15,(UTC-05:00) US/Eastern;DST,5,,0
100010020,1st Avenue - 26th St N - Interference testing,New York City DOT,40.73883,-73.977165,15,(UTC-05:00) US/Eastern;DST,5,,1
100009428,Ed Koch Queensboro Bridge Shared Path,New York City DOT,40.75101,-73.94045,15,(UTC-05:00) US/Eastern;DST,5,Y2H22042947,0
100009425,Prospect Park West,New York City DOT,40.671288,-73.971382,60,(UTC-05:00) US/Eastern;DST,5,Y2H21121588,0
100062893,Manhattan Bridge Bike Comprehensive,New York City DOT,40.7156,-73.99475,60,(UTC-05:00) US/Eastern;DST,5,Y2H21121587,1
100047029,Manhattan Bridge Display Bike Counter,New York City DOT,40.7156,-73.99475,60,(UTC-05:00) US/Eastern;DST,5,Y2H21121587,1
300028963,Willis Ave,New York City DOT,40.807046,-73.924393,0,(UTC-05:00) US/Eastern;DST,5,YAH22104565,0
100010017,Staten Island Ferry,New York City DOT,40.643387,-74.072075,15,(UTC-05:00) US/Eastern;DST,5,Y2H22104568,0
300027723,Fountain Ave,New York City DOT,40.655606,-73.862951,15,(UTC-05:00) US/Eastern;DST,5,Y2H22104569,0
300029648,Willis Ave Peds,New York City DOT,40.807046,-73.924393,15,(UTC-05:00) US/Eastern;DST,5,,0
300029647,Willis Ave Bikes,New York City DOT,40.807046,-73.924393,15,(UTC-05:00) US/Eastern;DST,5,,0
